label,sublabel,description,styles,bgcolor
燃やせるごみ,,,,#ea3b13
燃やせないごみ,,,,#733b96
資源プラ,,,,#77ae1f
ペットボトル,,,,#bbe400
缶・びん,,,,#2bc7aa
古紙・布類,,,,#81d12e
スプレー缶,,,,#00b7c0
